filename,audio_path,actor,label
03-01-05-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-01.wav,1,angry
03-01-03-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-01.wav,1,happy
03-01-01-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-01.wav,1,neutral
03-01-04-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-01.wav,1,sad
03-01-05-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-02.wav,2,angry
03-01-03-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-02.wav,2,happy
03-01-01-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-02.wav,2,neutral
03-01-04-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-02.wav,2,sad
03-01-05-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-03.wav,3,angry
03-01-03-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-03.wav,3,happy
03-01-01-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-03.wav,3,neutral
03-01-04-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-03.wav,3,sad
03-01-05-01-02-01-04.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-04.wav,4,angry
03-01-03-01-02-01-04.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-04.wav,4,happy
03-01-01-01-02-01-04.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-04.wav,4,neutral
03-01-04-01-02-01-04.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-04.wav,4,sad
03-01-05-01-02-01-05.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-05.wav,5,angry
03-01-03-01-02-01-05.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-05.wav,5,happy
03-01-01-01-02-01-05.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-05.wav,5,neutral
03-01-04-01-02-01-05.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-05.wav,5,sad
